Symbol,Description,Moving Averages Rating 1 day,Technical Rating 1 day,Analyst Rating,Price,Price - Currency,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency",Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Industry,Exchange,"Dividend payout ratio %, Trailing 12 months","Dividends per share, Quarterly","Dividends per share, Quarterly - Currency",Price to earnings ratio,"EPS diluted growth %, TTM YoY","EPS diluted growth %, Quarterly YoY","Gross profit growth %, TTM YoY","Gross profit growth %, Quarterly YoY","Total debt growth %, Annual YoY","Total debt growth %, Quarterly YoY","Debt to equity ratio, Quarterly","Return on invested capital %, Trailing 12 months","Total debt to capital, Annual",Momentum (10) 1 week,"Revenue growth %, TTM YoY","Revenue growth %, Quarterly YoY",Analyst Rating,Target price 1 year,Target price 1 year - Currency,Target price performance % 1 year
AAPL,Apple Inc.,Strong buy,Buy,Buy,245.455,USD,6.2904,USD,19056668,3687242914135.4443,USD,39.02057102886939,-2.1254084331725474,0.404296,Electronic technology,Telecommunications equipment,NASDAQ,15.738267836703548,0.25,USD,39.02057102886939,-2.1254084331725474,10.126756682281616,6.006759908102101,6.234618539786711,-3.9304446058258695,-10.404479822288042,1.44999850205219,60.1121593488006,0.676437000380662,-2.674999999999983,2.6066485872659486,3.9514948776918253,Buy,251.388537,USD,2.417362449328797
NVDA,NVIDIA Corporation,Strong buy,Buy,Strong buy,139.92,USD,2.5387,USD,101632518,3426640694848.4565,USD,55.11482254697285,235.18616318986005,0.02442,Electronic technology,Semiconductors,NASDAQ,1.1029266947650374,0.01,USD,55.11482254697285,235.18616318986005,110.30760928224501,174.15052802858693,95.19402985074626,-8.10406450004156,-7.273057041806474,0.155161686823776,106.306883300748,0.204611911018988,5.6699999999999875,152.4381546690439,93.6092715231788,Strong buy,175.392037,USD,25.351655946255015
MSFT,Microsoft Corporation,Sell,Sell,Strong buy,417.505,USD,12.4156,USD,14681559,3103724544974.8345,USD,33.62745255968298,12.290285528231754,0.74258,Technology services,Packaged software,NASDAQ,25.45185089725829,0.83,USD,33.62745255968298,12.290285528231754,10.233908144101079,14.47695845276719,12.821661910040804,23.175690134817035,-7.587241150164335,0.339975883314888,26.1661203049094,0.26711507961422704,-29.764999999999986,15.035833080678257,12.273460174137375,Strong buy,510.000213,USD,22.154276715248923
AMZN,"Amazon.com, Inc.",Sell,Sell,Strong buy,222.6701,USD,5.522,USD,17661230,2359797319189.8037,USD,40.32417602318,91.09911406423033,0,Retail trade,Internet retail,NASDAQ,0,0,USD,40.32417602318,91.09911406423033,85.4788774593029,15.414040570865703,14.844718892104176,-4.346644581899117,-4.346644581899117,0.516970311571144,15.7082332479625,0.34079131781802097,-4.789900000000017,10.990892246666146,10.491230341078248,Strong buy,269.06875,USD,20.837395770693966
GOOGL,Alphabet Inc.,Sell,Sell,Buy,184.66,USD,8.046,USD,11372863,2261196211432.0273,USD,22.950534427044495,38.599875973265334,0.323852,Technology services,Internet software/Services,NASDAQ,7.457121551081284,0.2,USD,22.950534427044495,38.599875973265334,30.90886939571151,16.927322379291354,14.919628707267377,-5.79234606756621,-5.79234606756621,0.0865530139902302,30.4221260665581,0.0796583442094326,-5.159999999999997,13.885407137066712,11.941736304549675,Buy,220.034483,USD,19.156548792375183
GOOG,Alphabet Inc.,Sell,Sell,Buy,186.44,USD,8.046,USD,6492167,2260300578059.5728,USD,23.171762366393242,38.599875973265334,0.320633,Technology services,Internet software/Services,NASDAQ,7.457121551081284,0.2,USD,23.171762366393242,38.599875973265334,30.90886939571151,16.927322379291354,14.919628707267377,-5.79234606756621,-5.79234606756621,0.0865530139902302,30.4221260665581,0.0796583442094326,-4.939999999999998,13.885407137066712,11.941736304549675,Buy,219.877193,USD,17.934559643853266
META,"Meta Platforms, Inc.",Buy,Buy,Strong buy,696.12,USD,23.9225,USD,8137114,1763897259313.8384,USD,29.098965409133662,60.59357021542262,0.284184,Technology services,Internet software/Services,NASDAQ,8.360330233044206,0.5,USD,29.098965409133662,60.59357021542262,50.434358406664536,24.719689247637678,26.11892091420837,31.23351967092079,31.23351967092079,0.272502285955201,29.7117210261883,0.21414679483318,75.76999999999998,21.941275453851343,20.62775797162873,Strong buy,761.412698,USD,9.379517611905985
TSLA,"Tesla, Inc.",Sell,Sell,Neutral,352.83,USD,2.0383,USD,35253707,1134883717124.8684,USD,173.10013246332727,-52.63292433537833,0,Consumer durables,Motor vehicles,NASDAQ,0,0,USD,173.10013246332727,-52.63292433537833,-71.01321585903084,-1.189127972819932,-5.83596214511041,42.30648699467252,42.30648699467252,0.18683910962379802,9.35480696690393,0.157425811223075,-83.40000000000003,0.9475783534663594,2.1456669448086783,Neutral,379.30675,USD,7.504109627866118
AVGO,Broadcom Inc.,Buy,Neutral,Buy,226.205,USD,1.2191,USD,8649127,1060303334454.5759,USD,185.55081617586745,-62.98803813224847,0.948717,Electronic technology,Semiconductors,NASDAQ,172.66836190632432,0.53,USD,185.55081617586745,-62.98803813224847,8.518114624984843,26.69098712446352,35.973597359735976,73.81961259079904,73.81961259079904,1.01829250273353,6.2592600109598,0.5045316778189379,1.4050000000000011,43.98503587481504,51.19956966110812,Buy,251.441176,USD,11.156329877765735
BRK.B,Berkshire Hathaway Inc. New,Strong buy,Buy,Buy,480.807,USD,49.5074,USD,1433055,1036942776278.594,USD,9.711820859103893,40.804828172683386,0,Finance,Property/Casualty insurance,NYSE,0,0,USD,9.711820859103893,40.804828172683386,,13.50961748474744,7.250356445054655,4.610637281392198,11.695690850369848,0.221557571585947,15.2772526532389,0.19223047508573898,22.90700000000004,5.904297808864749,-0.2306619461431177,Buy,510.416667,USD,6.158326937835756
LLY,Eli Lilly and Company,Strong buy,Strong buy,Buy,873.14,USD,11.7178,USD,1609917,828885475776.2166,USD,74.51398726723446,106.12873150737944,0.599735,Health technology,Pharmaceuticals: major,NYSE,44.37693082319207,1.3,USD,74.51398726723446,106.12873150737944,111.69788414845647,40.677245311904855,48.896291009067596,,,,,,84.01999999999998,31.996741305997812,44.68321679816965,Buy,1023.034783,USD,17.167325171221105
WMT,Walmart Inc.,Sell,Sell,Strong buy,97.27,USD,2.4351,USD,41306613,781407478637.9291,USD,39.94497145907766,21.27595995816525,0.798077,Retail trade,Specialty stores,NYSE,33.366186193585484,0.2075,USD,39.94497145907766,21.27595995816525,913.0590339892667,7.332064884388403,6.630322303828777,4.069718106681601,-11.457003971952567,0.700833068506832,14.3087255155061,0.422373296965189,3.019999999999996,5.484474431929367,5.4625506828188355,Strong buy,108.628571,USD,11.677363010177855
JPM,JP Morgan Chase & Co.,Buy,Neutral,Buy,266.62,USD,19.7471,USD,9097131,745497770263.6941,USD,13.501729367856546,21.75213174590451,1.71889,Finance,Major banks,NYSE,24.307366651305763,1.25,USD,13.501729367856546,21.75213174590451,58.242843040473836,,,15.02447689851181,15.02447689851181,2.28383097709118,8.08401534606887,0.695477627509988,26.680000000000007,17.071958653591306,11.99924324835643,Buy,274.095238,USD,2.8037048983572177
V,Visa Inc.,Strong buy,Buy,Buy,349.895,USD,9.7895,USD,2672325,683546779108.8031,USD,35.74186628530568,14.452901219412393,0.605242,Commercial services,Miscellaneous commercial services,NYSE,21.962306552939374,0.59,USD,35.74186628530568,14.452901219412393,8.326963906581739,10.340395700264839,7.150289876616619,3.288689766931986,-0.4540404772255229,0.538150198454147,34.147229057637,0.356384028417314,35.110000000000014,10.347515816617193,10.14593467685893,Buy,380.277778,USD,8.68339873390589
MA,Mastercard Incorporated,Strong buy,Buy,Buy,561.27,USD,13.8877,USD,798861,511714636174.8183,USD,40.41489951539852,17.38200689701805,0.48197,Commercial services,Miscellaneous commercial services,NYSE,19.729688861366533,0.76,USD,40.41489951539852,17.38200689701805,22.349695521986334,12.060177573166722,14.20919974795211,15.37433155080214,15.37433155080214,2.9276792598303802,55.379188712522,0.7453967256880369,32.26999999999998,12.066701158116768,14.16145276972379,Buy,625.970588,USD,11.527533629091181
ORCL,Oracle Corporation,Strong buy,Buy,Buy,176.505,USD,4.0864,USD,5902065,493676740052.58636,USD,43.19327525450274,13.015100392720838,0.881446,Technology services,Packaged software,NYSE,39.15426781519186,0.4,USD,43.19327525450274,13.015100392720838,23.61283061339337,7.704811443433029,11.094008998342412,-0.919807857697229,-0.18583383076732476,6.44725738396625,12.8767821337971,0.915636842972483,3.115000000000009,6.399504154641771,8.639208716482498,Buy,198.34375,USD,12.372878955270394
XOM,Exxon Mobil Corporation,Buy,Buy,Buy,111.9144,USD,7.846,USD,7958691,491874402875.8834,USD,14.263879683915372,-11.650113731054201,3.48141,Energy minerals,Integrated oil,NYSE,48.94213612031608,0.99,USD,14.263879683915372,-11.650113731054201,-9.602144321227733,-7.529820469839418,3.733203623761172,-12.574147435494352,-12.574147435494352,0.158169166303256,12.3086143855103,0.136568275952393,1.0743999999999971,1.7203508424954526,0.5233394513616747,Buy,128.576923,USD,14.888631847197487
UNH,UnitedHealth Group Incorporated,Strong sell,Sell,Strong buy,502.01,USD,15.5397,USD,1815160,461991930050.17676,USD,32.30499945301389,-34.83910735401414,1.60066,Health services,Managed health care,NYSE,52.63936884238435,2.1,USD,32.30499945301389,-34.83910735401414,2.4904871276267486,,,14.041669756061392,14.041669756061392,,,,-18.470000000000027,8.345468620583251,8.106340082361015,Strong buy,635.2,USD,26.53134399713155
COST,Costco Wholesale Corporation,Strong buy,Buy,Buy,1039.58,USD,17.0296,USD,1160927,461468398777.7434,USD,61.04547376332973,16.132815963011197,0.423513,Retail trade,Specialty stores,NASDAQ,26.42457838117161,1.16,USD,61.04547376332973,16.132815963011197,13.027184248797411,7.9564158272434,9.534186870062653,-5.571374335611238,-13.020220391569486,0.33250173817021805,22.6494065592394,0.29635697476989104,50.229999999999905,5.354322374741504,7.529542033599197,Buy,1065.142857,USD,2.4589600607938022
